CustomerID,FirstName,LastName,Email,Segment,Region
1,Zachary,Little,jessicajackson@deleon.com,Consumer,North
2,Jessica,Ross,brandon47@tucker-mcgee.com,Corporate,North
3,Jared,Collins,rebeccarodriguez@gmail.com,Consumer,West
4,Randall,Hall,donald68@hotmail.com,Home Office,South
5,Lisa,Johnson,justinatkins@reed.info,Consumer,West
6,Mark,Taylor,loretta33@haley-weaver.info,Home Office,South
7,Courtney,Morgan,lewiscorey@hotmail.com,Home Office,East
8,Daniel,Sanchez,christopher25@young-harper.biz,Corporate,East
9,Kimberly,Clark,rebecca07@jackson-copeland.net,Home Office,West
10,Jacob,Horne,hoovermaria@gmail.com,Consumer,East
11,Theresa,Smith,patriciahammond@mercado-adams.com,Consumer,West
12,James,Williams,mccallamy@francis-gonzalez.com,Consumer,East
13,Kara,Reyes,gregoryrich@gmail.com,Consumer,North
14,Melissa,Avila,richardsonalicia@wright.com,Corporate,West
15,Tracy,Sanchez,betty81@harris.com,Home Office,East
16,Wendy,Forbes,rhodesdana@gmail.com,Corporate,North
17,Jessica,Farmer,kellyrobinson@gmail.com,Home Office,North
18,Kenneth,Robinson,lukegonzales@mckay-schwartz.info,Home Office,South
19,Regina,Melendez,juanhickman@hotmail.com,Home Office,East
20,Alyssa,Hughes,suttondaniel@hotmail.com,Corporate,West
21,William,Wilson,ayalatimothy@gmail.com,Home Office,West
22,Kristy,Schultz,jeremy52@hotmail.com,Corporate,West
23,Adam,Hunter,christine88@gmail.com,Home Office,North
24,Kristen,Valencia,wayne99@yahoo.com,Home Office,East
25,Michael,Turner,myersdeborah@yahoo.com,Consumer,East
26,Anne,Lee,patricia89@gmail.com,Corporate,North
27,Anthony,Gray,dleach@park-ferrell.net,Home Office,East
28,Stacey,Everett,kimberlyfuentes@johnson.com,Home Office,West
29,Traci,Walsh,ashleymoore@yahoo.com,Corporate,North
30,Whitney,Harris,jasmine16@yahoo.com,Corporate,West
31,Amanda,Nelson,michael05@blair.com,Consumer,South
32,Amanda,Thomas,nsullivan@gmail.com,Home Office,West
33,Kathryn,Perez,btaylor@love-walker.info,Home Office,North
34,Chad,Swanson,richardevans@farmer.info,Home Office,South
35,Heather,Lucas,maldonadomelissa@weber.org,Corporate,West
36,Robert,Cain,lopezjason@gmail.com,Corporate,East
37,Christopher,Martinez,zachary01@miller-sanders.com,Home Office,West
38,Melissa,Anderson,tammy66@anderson.com,Corporate,East
